,대구분,소구분,역명,위도,경도
622,지하철,중앙선,양수,37.545981,127.329098
623,지하철,중앙선,운길산,37.554669,127.310115
624,지하철,중앙선,팔당,37.547371,127.243939
625,지하철,중앙선,도심,37.579622,127.222672
626,지하철,중앙선,덕소,37.586781,127.208832
627,지하철,중앙선,양정,37.60533,127.19364
628,지하철,중앙선,도농,37.608806,127.161153
629,지하철,중앙선,구리,37.603392,127.143869
630,지하철,중앙선,양원,37.606596,127.107906
631,지하철,중앙선,망우,37.59955,127.091909
632,지하철,중앙선,상봉(시외버스터미널),37.596678,127.08504
633,지하철,중앙선,중랑,37.594917,127.076116
634,지하철,경부선,신길,37.516862,126.917865
635,지하철,분당선,복정,37.470345,127.126658
636,지하철,분당선,수서,37.487472,127.101422
637,지하철,분당선,대모산입구,37.491373,127.07272
638,지하철,분당선,개포동,37.489116,127.06614
639,지하철,분당선,구룡,37.486839,127.058856
640,지하철,분당선,도곡,37.491224,127.055186
641,지하철,분당선,한티,37.496237,127.052873
642,지하철,분당선,선릉,37.504856,127.048807
643,지하철,경원선,창동,37.653007,127.047806
644,지하철,경원선,녹천,37.644799,127.051269
645,지하철,경원선,월계,37.633212,127.058831
646,지하철,경원선,광운대,37.623632,127.061835
647,지하철,경원선,석계,37.614532,127.065934
648,지하철,경원선,신이문,37.601854,127.067325
649,지하철,경원선,외대앞,37.596073,127.063549
650,지하철,중앙선,회기,37.58946,127.057583
651,지하철,경원선,청량리(서울시립대입구),37.580759,127.0483
652,지하철,경원선,왕십리(성동구청),37.561827,127.038352
653,지하철,경원선,응봉,37.549946,127.034538
654,지하철,경원선,옥수,37.540446,127.018672
655,지하철,경원선,한남,37.52943,127.009169
656,지하철,경원선,서빙고,37.519594,126.988537
657,지하철,경원선,이촌(국립중앙박물관),37.522427,126.973406
658,지하철,경부선,신도림,37.508787,126.891144
659,지하철,경부선,영등포,37.515504,126.907628
660,지하철,경부선,대방,37.513342,126.926382
661,지하철,경부선,노량진,37.514149,126.94271
662,지하철,경부선,용산,37.529849,126.964561
663,지하철,경부선,남영,37.541021,126.9713
664,지하철,경부선,서울역,37.554337,126.971134
665,지하철,4호선,남태령,37.463873,126.989134
666,지하철,4호선,사당,37.476955,126.981651
667,지하철,4호선,총신대입구(이수),37.486263,126.981989
668,지하철,4호선,동작(현충원),37.502852,126.980347
669,지하철,4호선,이촌(국립중앙박물관),37.522295,126.974733
670,지하철,4호선,신용산,37.52917,126.967894
671,지하철,4호선,삼각지,37.534075,126.9726
672,지하철,4호선,숙대입구(갈월),37.54456,126.972106
673,지하철,4호선,서울역,37.55281,126.972556
674,지하철,4호선,회현(남대문시장),37.558514,126.978246
675,지하철,4호선,명동,37.560989,126.986325
676,지하철,4호선,충무로,37.561207,126.99408
677,지하철,4호선,동대문역사문화공원,37.565133,127.007885
678,지하철,4호선,동대문,37.57093,127.009287
679,지하철,4호선,혜화,37.582336,127.001844
680,지하철,4호선,한성대입구(삼선교),37.588458,127.006221
681,지하철,4호선,성신여대입구(돈암),37.592612,127.016441
682,지하철,4호선,길음,37.603407,127.025053
683,지하철,4호선,미아사거리,37.613292,127.030053
684,지하철,4호선,미아(서울사이버대학),37.62667,127.025983
685,지하철,4호선,수유(강북구청),37.638052,127.025732
686,지하철,4호선,쌍문,37.648627,127.034709
687,지하철,4호선,창동,37.653088,127.047274
688,지하철,4호선,노원,37.65627,127.063276
