,대구분,소구분,병원명,위도,경도
1794,병원,의원,올리오성형외과의원,37.557701652710136,126.84215920366258
1795,병원,의원,강남라이프산부인과의원,37.5034475706091,127.024446802561
1796,병원,의원,연세드림비뇨기과의원,37.56230476486946,127.00631112484524
1797,병원,의원,영의원,37.56795906065796,127.05173792835954
1798,병원,의원,강남항외과의원,37.5003097069231,127.025815300449
1799,병원,한방병원,요나한방병원,37.4855798883,127.0391531452
1800,병원,의원,연세뷰티의원,37.5255648913174,127.026048899405
1801,병원,치과의원,용산엠치과의원,37.52772793089308,126.9668538805553
1802,병원,치과의원,연세인스마일치과의원,37.6357405646,126.9193430105
1803,병원,의원,강신구가정의학과의원,37.6007507501532,127.068769452719
1804,병원,의원,(의)성광의료재단차여성의원,37.555503632236,126.973751343837
1805,병원,의원,강신삼신경정신과의원,37.5808242523432,127.0447330221
1806,병원,치과의원,연세미소치과의원,37.54139150637437,126.9701063104549
1807,병원,의원,강안과의원,37.5548319100792,126.854229652711
1808,병원,의원,위광민의원,37.55631970994646,126.94371597136713
1809,병원,한의원,경희미소담한의원,37.52789802270762,127.13591193330086
1810,병원,의원,연세성동가정의학과의원,37.5484222212024,127.065650905331
1811,병원,의원,연세스퀘어의원,37.63171476089951,127.02448853192848
1812,병원,한의원,경희김재승한의원,37.4866603416892,126.928906419704
1813,병원,한의원,경희예당한의원,37.5835523880799,126.949292868145
1814,병원,의원,연세신효선성형외과의원,37.6385067563721,127.025726289061
1815,병원,치과의원,E-행복한치과의원,37.5120843432468,127.084186279267
1816,병원,한의원,강우상한의원,37.5954865176051,127.076129343778
1817,병원,의원,오라클이비인후과의원,37.65711552065661,127.06284236179648
1818,병원,의원,연세봄봄의원,37.5668038837366,126.930516521058
1819,병원,의원,예너지의원,37.5173535301,127.0233787743
1820,병원,치과의원,강남레옹치과의원,37.4995604045649,127.026339775243
1821,병원,의원,우리성모의원,37.57077425729675,127.00283899006696
1822,병원,의원,연세성모정형외과의원,37.485490883015,126.955540066853
1823,병원,한의원,경희미소한의원,37.5803888249,126.9113059041
1824,병원,의원,우리이비인후과의원,37.53496303917479,126.8693567878199
1825,병원,한의원,365경희길음한의원,37.6026965054255,127.020948040998
1826,병원,치과의원,강우진치과의원,37.5248243999828,127.027837746706
1827,병원,치과의원,우림치과의원,37.49145037230716,126.90802339809754
1828,병원,치과의원,유성치과의원,37.5717318616397,127.01603338476411
1829,병원,한의원,우암한의원,37.6007195527876,126.9491407992448
1830,병원,치과의원,4월31일치과의원,37.5110346248226,127.021887080623
1831,병원,의원,강원석내과의원,37.6200429651128,127.019442435578
1832,병원,의원,강이비인후과의원,37.5307303901082,126.847048770243
1833,병원,치과의원,유양석치과의원,37.579316385149255,126.9717522870928
1834,병원,의원,연세윤피부과의원,37.5153235254771,127.099502662936
1835,병원,의원,강남로미모의원,37.4986813605293,127.028754000454
1836,병원,치과의원,연세에스치과의원,37.5537917191,127.0118286178
1837,병원,한의원,경희미한의원,37.65912554006548,127.07270167936376
1838,병원,한의원,경희예원한의원,37.5212269722475,126.874981935845
1839,병원,한의원,올림픽한의원,37.50968995179999,127.1273282004
1840,병원,의원,윤경숙의원,37.556896102197314,126.9512666097099
1841,병원,치과의원,강변화이트치과의원,37.5353492183772,127.093405063055
1842,병원,치과의원,강남루덴플러스치과의원,37.49902203383928,127.02983265269944
1843,병원,의원,강인구내과의원,37.4729601510711,126.91859283848
1844,병원,치과의원,연세우주치과의원,37.5658948102878,127.173539404835
1845,병원,의원,혜당의원,37.54802903289999,126.9167805681
1846,병원,의원,연세조이산부인과의원,37.5667996863316,126.966255525958
1847,병원,의원,윤정형외과의원,37.50817373586212,126.96147747623068
1848,병원,치과의원,예턱치과의원,37.484381744358046,127.0144543671114
1849,병원,의원,연세종로마취통증의학과의원,37.5712692800703,127.002288622926
1850,병원,한의원,강인정한의원,37.49607360476548,127.1309463924201
1851,병원,의원,연세원의원,37.5156182854549,127.115862606696
1852,병원,의원,연세중앙내과의원,37.5253513313211,126.963055489889
1853,병원,의원,연세지아이내과의원,37.5183061036652,127.045976501779
1854,병원,의원,연세진정신건강의학과의원,37.5445849310546,126.95276773044
1855,병원,의원,연세참비뇨의학과의원,37.5875917300777,126.945087101126
1856,병원,한의원,경희오늘한의원,37.6505421411218,127.06197526951
1857,병원,의원,연세참이비인후과의원,37.5821227010138,127.047209103701
1858,병원,의원,연세채움정신건강의학과의원,37.5048110738687,127.048597161488
1859,병원,한의원,365경희한의원,37.53028387385333,126.86353620086156
1860,병원,치과의원,예일치과의원,37.61353040557182,127.03425475439197
1861,병원,의원,연세코앤이비인후과의원,37.4997988058128,127.027157607819
1862,병원,치과병원,유디성신치과병원,37.50549488423753,127.0508623901558
1863,병원,의원,연세코코이비인후과의원,37.5050855011158,127.049510713015
1864,병원,치과의원,유디잠실치과의원,37.5159215783,127.10903248549998
1865,병원,의원,연세쿰내과의원,37.488125746629,127.111059136873
1866,병원,의원,건운재정형외과의원,37.6458670929817,127.032590678837
1867,병원,의원,연세퀸의원,37.5237531022074,126.875143110053
1868,병원,의원,연세크라운비뇨의학과의원,37.49120479077492,127.013841790252
1869,병원,의원,연세큰숲내과의원,37.6118291183667,126.929364603214
1870,병원,의원,강남연세신통의원,37.4990331412977,127.051899209649
1871,병원,의원,연세키즈소아청소년과의원,37.4936757916501,127.060358414855
1872,병원,의원,연세키즈소아청소년과의원,37.5728549565736,127.052401156065
1873,병원,치과의원,유디강남치과의원,37.49783841112969,127.0287254422288
1874,병원,치과의원,유디고덕치과의원,37.551938561,127.1553615805
